"and";"used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly";"""bread and butter"", ""crash and burn"";";[sound:videos_bsl_signstation_and.mp4];"https://media.signbsl.com/videos/bsl/signstation/and.mp4";"<i>and</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/and";"Function_terms"
"in";"inside an enclosed space";"";[sound:videos_bsl_signstation_IN.mp4];"https://media.signbsl.com/videos/bsl/signstation/IN.mp4";"<i>IN</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/in";"Function_terms"
"have";"organize or be responsible for";"""hold a reception""; ""have, throw, or make a party""; ""give a course"";";[sound:videos_bsl_signstation_have.mp4];"https://media.signbsl.com/videos/bsl/signstation/have.mp4";"<i>have</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/have";"Verbs"
"have";"have ownership or possession of";"""He owns three houses in Florida""; ""How many cars does she have?"";";[sound:videos_bsl_signstation_own.mp4];"https://media.signbsl.com/videos/bsl/signstation/own.mp4";"<i>own</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/have";"Verbs"
"have";"get something; come into possession of";"""receive payment""; ""receive a gift""; ""receive letters from the front"";";[sound:videos_bsl_signstation_receive.mp4];"https://media.signbsl.com/videos/bsl/signstation/receive.mp4";"<i>receive</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/have";"Verbs"
"do";"engage in";"""make love, not war""; ""make an effort""; ""do research""; ""do nothing""; ""make revolution"";";[sound:videos_bsl_signstation_do.mp4];"https://media.signbsl.com/videos/bsl/signstation/do.mp4";"<i>do</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/do";"Verbs GCSE_vocabulary"
"with";"accompanying, accompanied by, or having as a feature";"""walk with me"", ""the house with the apple tree in front"";";[sound:videos_bsl_signstation_with.mp4];"https://media.signbsl.com/videos/bsl/signstation/with.mp4";"<i>With</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/with";"Function_terms"
"on";"with a forward motion";"""we drove along admiring the view""; ""the horse trotted along at a steady pace""; ""the circus traveled on to the next city""; ""move along""; ""march on"";";[sound:videos_bsl_signstation_on.mp4];"https://media.signbsl.com/videos/bsl/signstation/on.mp4";"<i>on</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/on";"Function_terms"
"on";"physically in contact with and supported by a surface";"""make sure the lid is on"";";[sound:videos_bsl_signmonkey_mp4_on.mp4];"https://media.signbsl.com/videos/bsl/signmonkey/mp4/on.mp4";"<i>on</i> <span style=""color:#666; font-size:80%;"">- Karl O'Keeffe <a href=""https://www.signmonkey.net/"" rel=""nofollow"" target=""_blank"">More details</a></span>";"https://signbsl.com/sign/on";"Function_terms"
"but";"conjunction, used to introduce a phrase or clause contrasting with what has already been mentioned";"""he stumbled but didn't fall"";";[sound:videos_bsl_signstation_but.mp4];"https://media.signbsl.com/videos/bsl/signstation/but.mp4";"<i>but</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/but";"Function_terms"
"but";"and nothing more";"""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment"";";[sound:videos_bsl_signstation_only.mp4];"https://media.signbsl.com/videos/bsl/signstation/only.mp4";"<i>only</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/but";"Function_terms"
"say";"express in words";"""He said that he wanted to marry her""; ""tell me what is bothering you""; ""state your opinion""; ""state your name"";";[sound:videos_bsl_signstation_say.mp4];"https://media.signbsl.com/videos/bsl/signstation/say.mp4";"<i>say</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/say";"Verbs GCSE_vocabulary"
"say";"give instructions to or direct somebody to do something with authority";"""I said to him to go home""; ""She ordered him to do the shopping""; ""The mother told the child to get dressed"";";[sound:videos_wolver_mp4_sci_order__6231.mp4];"https://media.signbsl.com/videos/wolver/mp4/sci_order__6231.mp4";"<i>order</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://signbsl.com/sign/say";"Verbs"
"what";"pronoun asking for information";"""What is your name?"";";[sound:videos_bsl_signstation_what.mp4];"https://media.signbsl.com/videos/bsl/signstation/what.mp4";"<i>What</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/what";"Questions GCSE_vocabulary Signature_Level_1_Award"
"go";"change location; move, travel, or proceed";"""How fast does your new car go?""; ""We travelled from Rome to Naples by bus""; ""The policemen went from door to door looking for the suspect""; ""The soldiers moved towards the city in an attempt to take it before ni;";[sound:videos_bsl_signstation_go.mp4];"https://media.signbsl.com/videos/bsl/signstation/go.mp4";"<i>go</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/go";"Verbs GCSE_vocabulary Signature_Level_1_Award"
"go";"pass from physical life and lose all all bodily attributes and functions necessary to sustain life";"""She died from cancer""; ""They children perished in the fire""; ""The patient went peacefully"";";[sound:videos_bsl_signstation_die.mp4];"https://media.signbsl.com/videos/bsl/signstation/die.mp4";"<i>die</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/go";"Verbs"
"go";"continue to live; endure or last";"""We went without water and food for 3 days""; ""These superstitions survive in the backwaters of America""; ""The racecar driver lived through several very serious accidents"";";[sound:videos_wolver_mp4_sci_surviv_6298.mp4];"https://media.signbsl.com/videos/wolver/mp4/sci_surviv_6298.mp4";"<i>survive</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://signbsl.com/sign/go";"Verbs"
"or";"used to link alternatives";"""a cup of tea or coffee"";";[sound:videos_bsl_signstation_OR.mp4];"https://media.signbsl.com/videos/bsl/signstation/OR.mp4";"<i>or</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/or";"Function_terms"
"get";"take the first step or steps in carrying out an action";"""We began working at dawn""; ""Who will start?""; ""Get working as soon as the sun rises!""; ""The first tourists began to arrive in Cambodia""; ""He began early in the day""; ""Let's get down to work now"";";[sound:videos_bsl_signstation_get.mp4];"https://media.signbsl.com/videos/bsl/signstation/get.mp4";"<i>get</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/get";"Verbs GCSE_vocabulary Signature_Level_1_Award"
"get";"reach a destination; arrive by movement or progress";"""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight"";";[sound:videos_bsl_signstation_arrive.mp4];"https://media.signbsl.com/videos/bsl/signstation/arrive.mp4";"<i>arrive</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/get";"Verbs GCSE_vocabulary Signature_Level_1_Award"
"get";"go or come after and bring or take back";"""Get me those books over there, please""; ""Could you bring the wine?""; ""The dog fetched the hat"";";[sound:videos_bsl_signstation_bring.mp4];"https://media.signbsl.com/videos/bsl/signstation/bring.mp4";"<i>bring</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/get";"Verbs"
"get";"succeed in catching or seizing, especially after a chase";"""We finally got the suspect""; ""Did you catch the thief?"";";[sound:videos_bsl_signstation_capture.mp4];"https://media.signbsl.com/videos/bsl/signstation/capture.mp4";"<i>capture</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/get";"Verbs"
"get";"be a mystery or bewildering to";"""This beats me!""; ""Got me--I don't know the answer!""; ""a vexing problem""; ""This question really stuck me"";";[sound:videos_bsl_signstation_puzzle.mp4];"https://media.signbsl.com/videos/bsl/signstation/puzzle.mp4";"<i>puzzle</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/get";"Verbs"
"can";"be able to";"";[sound:videos_bsl_signstation_can.mp4];"https://media.signbsl.com/videos/bsl/signstation/can.mp4";"<i>can</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/can";"Modal_verbs GCSE_vocabulary"
"can";"airtight sealed metal container for food or drink or paint etc.";"";[sound:videos_bsl_signstation_can-2.mp4];"https://media.signbsl.com/videos/bsl/signstation/can-2.mp4";"<i>can</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/can";"Modal_verbs"
"know";"be familiar or acquainted with a person or an object";"""She doesn't know this composer""; ""Do you know my sister?""; ""We know this movie""; ""I know him under a different name""; ""This flower is known as a Peruvian Lily"";";[sound:videos_bsl_signstation_know.mp4];"https://media.signbsl.com/videos/bsl/signstation/know.mp4";"<i>know</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/know";"Verbs GCSE_vocabulary"
"if";"";"";[sound:videos_bsl_signstation_if.mp4];"https://media.signbsl.com/videos/bsl/signstation/if.mp4";"<i>if</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/if";"Function_terms"
"all";"to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')";"""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a total;";[sound:videos_bsl_signstation_whole.mp4];"https://media.signbsl.com/videos/bsl/signstation/whole.mp4";"<i>whole</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/all";"Adjectives_and_Adverbs"
"about";"";"";[sound:videos_bsl_signstation_about.mp4];"https://media.signbsl.com/videos/bsl/signstation/about.mp4";"<i>about</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/about";"Function_terms"
"about";"(of quantities) imprecise but fairly close to correct";"""lasted approximately an hour""; ""in just about a minute""; ""he's about 30 years old""; ""I've had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundre;";[sound:videos_bsl_signstation_around.mp4];"https://media.signbsl.com/videos/bsl/signstation/around.mp4";"<i>around</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/about";"Function_terms"
"will";"a helping verb, indicating that an action takes place in the future";"""I will see you tomorrow"", ""Will you be done soon?"", ""she does what she says she will"";";[sound:videos_bsl_signstation_will.mp4];"https://media.signbsl.com/videos/bsl/signstation/will.mp4";"<i>will</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/will";"Modal_verbs GCSE_vocabulary"
"make";"organize or be responsible for";"""hold a reception""; ""have, throw, or make a party""; ""give a course"";";[sound:videos_bsl_signstation_have.mp4];"https://media.signbsl.com/videos/bsl/signstation/have.mp4";"<i>have</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs GCSE_vocabulary GCSE_vocabulary"
"make";"engage in";"""make love, not war""; ""make an effort""; ""do research""; ""do nothing""; ""make revolution"";";[sound:videos_bsl_signstation_do.mp4];"https://media.signbsl.com/videos/bsl/signstation/do.mp4";"<i>do</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs GCSE_vocabulary GCSE_vocabulary"
"make";"earn on some commercial or business transaction; earn as salary or wages";"""How much do you make a month in your new job?""; ""She earns a lot in her new job""; ""this merger brought in lots of money""; ""He clears $5,000 each month"";";[sound:videos_bsl_signstation_realise.mp4];"https://media.signbsl.com/videos/bsl/signstation/realise.mp4";"<i>realise</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs GCSE_vocabulary"
"make";"prepare for eating by applying heat";"""Cook me dinner, please""; ""can you make me an omelette?""; ""fix breakfast for the guests, please"";";[sound:videos_bsl_signstation_cook.mp4];"https://media.signbsl.com/videos/bsl/signstation/cook.mp4";"<i>cook</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs GCSE_vocabulary"
"make";"make or cause to be or to become";"""make a mess in one's office""; ""create a furor"";";[sound:videos_bsl_signstation_create.mp4];"https://media.signbsl.com/videos/bsl/signstation/create.mp4";"<i>create</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs"
"make";"make by combining materials and parts";"""this little pig made his house out of straw""; ""Some eccentric constructed an electric brassiere warmer"";";[sound:videos_bsl_signstation_build.mp4];"https://media.signbsl.com/videos/bsl/signstation/build.mp4";"<i>build</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs"
"make";"create or manufacture a man-made product";"""We produce more cars than we can sell""; ""The company has been making toys for two centuries"";";[sound:videos_bsl_signstation_produce.mp4];"https://media.signbsl.com/videos/bsl/signstation/produce.mp4";"<i>produce</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs"
"make";"reach a destination, either real or abstract";"""We hit Detroit by noon""; ""The water reached the doorstep""; ""We barely made it to the finish line""; ""I have to hit the MAC machine before the weekend starts"";";[sound:videos_bsl_signon_mp4_otw25.mp4];"https://media.signbsl.com/videos/bsl/signon/mp4/otw25.mp4";"<i>arrive at</i>";"https://signbsl.com/sign/make";"Verbs"
"make";"eliminate urine";"""Again, the cat had made on the expensive rug"";";[sound:videos_bsl_signstation_wee.mp4];"https://media.signbsl.com/videos/bsl/signstation/wee.mp4";"<i>wee</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/make";"Verbs"
"think";"recall knowledge from memory; have a recollection";"""I can't remember saying any such thing""; ""I can't think what her last name was""; ""can you remember her phone number?""; ""Do you remember that he once loved you?""; ""call up memories"";";[sound:videos_bsl_signstation_remember.mp4];"https://media.signbsl.com/videos/bsl/signstation/remember.mp4";"<i>remember</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/think";"Verbs GCSE_vocabulary GCSE_vocabulary"
"think";"expect, believe, or suppose";"""I imagine she earned a lot of money with her new novel""; ""I thought to find her in a bad state""; ""he didn't think to find her in the kitchen""; ""I guess she is angry at me for standing her up"";";[sound:videos_bsl_signstation_suppose.mp4];"https://media.signbsl.com/videos/bsl/signstation/suppose.mp4";"<i>suppose</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/think";"Verbs GCSE_vocabulary"
"think";"imagine or visualize";"""Just think--you could be rich one day!""; ""Think what a scene it must have been!"";";[sound:videos_bsl_signstation_think.mp4];"https://media.signbsl.com/videos/bsl/signstation/think.mp4";"<i>think</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/think";"Verbs GCSE_vocabulary"
"think";"have on one's mind, think about actively";"""I'm thinking about my friends abroad""; ""She always thinks about her children first"";";[sound:videos_bsl_signon_mp4_msw21.mp4];"https://media.signbsl.com/videos/bsl/signon/mp4/msw21.mp4";"<i>think about</i>";"https://signbsl.com/sign/think";"Verbs"
"think";"judge or regard; look upon; judge";"""I think he is very smart""; ""I believe her to be very smart""; ""I think that he is her boyfriend""; ""The racist conceives such people to be inferior"";";[sound:videos_bsl_signstation_consider.mp4];"https://media.signbsl.com/videos/bsl/signstation/consider.mp4";"<i>consider</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/think";"Verbs"
"time";"the time as given by a clock";"""do you know what time it is?""; ""the time is 10 o'clock"";";[sound:videos_bsl_signstation_time.mp4];"https://media.signbsl.com/videos/bsl/signstation/time.mp4";"<i>time</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/time";"Time_related_terms Signature_Level_1_Award"
"see";"get to know or become aware of, usually accidentally";"""I learned that she has two grown-up children""; ""I see that you have been promoted"";";[sound:videos_bsl_signstation_learn.mp4];"https://media.signbsl.com/videos/bsl/signstation/learn.mp4";"<i>learn</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/see";"Verbs GCSE_vocabulary Signature_Level_1_Award GCSE_vocabulary Signature_Level_1_Award"
"see";"perceive by sight or have the power to perceive by sight";"""You have to be a good observer to see all the details""; ""Can you see the bird in that tree?""; ""He is blind--he cannot see"";";[sound:videos_bsl_signstation_see.mp4];"https://media.signbsl.com/videos/bsl/signstation/see.mp4";"<i>see</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/see";"Verbs GCSE_vocabulary Signature_Level_1_Award"
"see";"come together";"""I'll probably see you at the meeting""; ""How nice to see you again!"";";[sound:videos_bsl_signstation_meet.mp4];"https://media.signbsl.com/videos/bsl/signstation/meet.mp4";"<i>meet</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/see";"Verbs GCSE_vocabulary Signature_Level_1_Award"
"see";"imagine; conceive of; see in one's mind";"""I can't see him on horseback!""; ""I can see what will happen""; ""I can see a risk in this strategy"";";[sound:videos_bsl_signstation_fancy.mp4];"https://media.signbsl.com/videos/bsl/signstation/fancy.mp4";"<i>fancy</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/see";"Verbs"
"see";"make sense of; assign a meaning to";"""What message do you see in this letter?""; ""How do you interpret his behavior?"";";[sound:videos_wolver_mp4_3889_Interpretation.mp4];"https://media.signbsl.com/videos/wolver/mp4/3889_Interpretation.mp4";"<i>interpret</i> <span style=""color:#666; font-size:80%;"">- University of Wolverhampton</span>";"https://signbsl.com/sign/see";"Verbs"
"one";"the smallest whole number or a numeral representing this number";"""he has the one but will need a two and three to go with it""; ""they had lunch at one"";";[sound:videos_bsl_signstation_one.mp4];"https://media.signbsl.com/videos/bsl/signstation/one.mp4";"<i>one</i> <span style=""color:#666; font-size:80%;"">- SignStation</span>";"https://signbsl.com/sign/one";"Numerals"
